Name,Latitude,Longitude
בית סוהר גלבוע,32.5468940785088,35.4185560021985
בית סוהר נפחא,30.7266661031349,34.7735893752639
בית מעצר ניצן,31.9350423966722,34.8812712329071
בית סוהר נווה תרצה,31.9336550533684,34.8809330426847
בית מעצר ירושלים,31.78189166341,35.2221562733814
בית סוהר אוהלי קידר,31.2077156369368,34.8115388599057
בית מעצר תל אביב אבו כביר,32.0426384047155,34.7709420194142
בית סוהר שקמה,31.6654388821073,34.5981971157111
בית סוהר מעשיהו,31.9360846254195,34.8829395850114
בית סוהר השרון,32.2410599710341,34.8848808752261
בית סוהר אשל,31.2070480800458,34.810727917579
בית סוהר איילון,31.9349440868197,34.879740113848
בית סוהר אופק,32.2418077202124,34.8860784175528
